[2026-06-01 14:09:09,950][__main__][INFO] - Epoch 019 | train_total 0.0072 | train_normal 0.0001 | train_anomaly 0.0143 | val_total 0.0147
[2026-06-01 14:09:11,830][__main__][INFO] - Epoch 020 | train_total 0.0068 | train_normal 0.0000 | train_anomaly 0.0135 | val_total 0.0149
[2026-06-01 14:09:13,569][__main__][INFO] - Epoch 021 | train_total 0.0065 | train_normal 0.0000 | train_anomaly 0.0129 | val_total 0.0147
[2026-06-01 14:09:15,288][__main__][INFO] - Epoch 022 | train_total 0.0081 | train_normal 0.0016 | train_anomaly 0.0131 | val_total 0.0121
[2026-06-01 14:09:17,018][__main__][INFO] - Epoch 023 | train_total 0.0067 | train_normal 0.0001 | train_anomaly 0.0131 | val_total 0.0124
[2026-06-01 14:09:18,747][__main__][INFO] - Epoch 024 | train_total 0.0067 | train_normal 0.0003 | train_anomaly 0.0128 | val_total 0.0130
[2026-06-01 14:09:20,652][__main__][INFO] - Epoch 025 | train_total 0.0065 | train_normal 0.0001 | train_anomaly 0.0126 | val_total 0.0139
[2026-06-01 14:09:22,367][__main__][INFO] - Epoch 026 | train_total 0.0072 | train_normal 0.0003 | train_anomaly 0.0138 | val_total 0.0128
[2026-06-01 14:09:24,082][__main__][INFO] - Epoch 027 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:09:25,816][__main__][INFO] - Epoch 028 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:09:27,528][__main__][INFO] - Epoch 029 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:09:29,246][__main__][INFO] - Epoch 030 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:09:30,968][__main__][INFO] - Epoch 031 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:09:32,687][__main__][INFO] - Epoch 032 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:09:34,420][__main__][INFO] - Epoch 033 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:09:36,190][__main__][INFO] - Epoch 034 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:09:37,960][__main__][INFO] - Epoch 035 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:09:39,703][__main__][INFO] - Epoch 036 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:09:41,425][__main__][INFO] - Epoch 037 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:09:43,145][__main__][INFO] - Epoch 038 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 14:09:44,858][__main__][INFO] - Epoch 039 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
